Metric,Value
total_return,-9585960.298217846
roi,-1.0
annualized_return,-1.0
sharpe_ratio,-9023.42537685156
sortino_ratio,-9023.42537685156
calmar_ratio,-0.10431923030037091
max_drawdown,9.585960298217849
max_drawdown_duration,0
volatility,0.1338572600903905
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,32
winning_trades,0
losing_trades,17
win_rate,0.0
profit_factor,0.0
expectancy,-299561.2593193077
avg_win,0
avg_loss,563880.0175422264
avg_win_loss_ratio,0.0
consistency_score,0.4042708944077583
max_consecutive_wins,0
max_consecutive_losses,32
avg_holding_time_hours,0.6458333333333334
avg_trades_per_day,32.0
total_commission,-66.04460351200726
total_slippage,-16928933.32225808
sample_size,32
confidence_level,0
composite_score,0.06064063416116375
weighted_score,0.031186611854312783
