Metric,Value
total_return,-353.36845790954675
roi,-0.00035336845790954677
annualized_return,-0.00035336845790954677
sharpe_ratio,-373.51239164307174
sortino_ratio,-373.51239164307174
calmar_ratio,-0.7802848513536748
max_drawdown,0.00045287109867185886
max_drawdown_duration,0
volatility,0.0001727504284737691
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,37
winning_trades,8
losing_trades,10
win_rate,0.21621621621621623
profit_factor,0.571866705259785
expectancy,-9.550498862420183
avg_win,59.000216244009486
avg_loss,82.53701878616225
avg_win_loss_ratio,0.7148333815747313
consistency_score,0
max_consecutive_wins,2
max_consecutive_losses,14
avg_holding_time_hours,0.5225225225225225
avg_trades_per_day,37.0
total_commission,138.59120558743822
total_slippage,217.30679501600687
sample_size,37
confidence_level,0.11386376851955585
composite_score,0.3474441204775205
weighted_score,0.1910942662626363
