Metric,Value
total_return,-1198.8790503260484
roi,-0.0011988790503260484
annualized_return,-0.0011988790503260484
sharpe_ratio,-157.54079246524046
sortino_ratio,-157.54079246524046
calmar_ratio,-0.9999999999999837
max_drawdown,0.0011988790503260679
max_drawdown_duration,0
volatility,0.0010858061436933816
downside_deviation,0.0
var_95,0.0
cvar_95,0.0
total_trades,37
winning_trades,5
losing_trades,15
win_rate,0.13513513513513514
profit_factor,0.145003419446882
expectancy,-32.402136495298606
avg_win,40.664855451947005
avg_loss,93.48022183905223
avg_win_loss_ratio,0.43501025834064594
consistency_score,0
max_consecutive_wins,1
max_consecutive_losses,15
avg_holding_time_hours,0.5202702702702703
avg_trades_per_day,37.0
total_commission,138.93865802534583
total_slippage,-281.1416160198638
sample_size,37
confidence_level,0.059132072625076235
composite_score,0.30186283649755824
weighted_score,0.16602456007365704
