[2025-07-27 00:14:56] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:14:56] [INFO] [RuleStrategyC] [RuleStrategyC] 진입 신호 (SHORT) | 가격: 39392.78 | 신뢰도: 0.71 | BB위치: 1.00 | RSI: 75.9 | 감정: 0.90
[2025-07-27 00:14:56] [INFO] [RuleStrategyC] [RuleStrategyC] 진입 신호 (SHORT) | 가격: 39478.58 | 신뢰도: 0.69 | BB위치: 1.00 | RSI: 77.3 | 감정: 0.63
[2025-07-27 00:15:17] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:15:18] [INFO] [RuleStrategyC] [RuleStrategyC] 진입 신호 (SHORT) | 가격: 39246.90 | 신뢰도: 0.73 | BB위치: 1.00 | RSI: 75.7 | 감정: 0.73
[2025-07-27 00:15:18] [INFO] [RuleStrategyC] [RuleStrategyC] 진입 신호 (SHORT) | 가격: 39469.14 | 신뢰도: 0.71 | BB위치: 1.00 | RSI: 79.3 | 감정: 0.70
[2025-07-27 00:39:05] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
[2025-07-27 00:39:13] [INFO] [RuleStrategyC] RuleStrategyC 초기화: BB(20, 2), 감정(0.4), 변동성(2.0)
