[2025-07-27 00:14:56] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:14:56] [INFO] [RuleStrategyD] [RuleStrategyD] 진입 신호 | 가격: 38480.81 | 신뢰도: 0.86 | 변동성: 1.61 | 감정: 0.50 | 체제: 0.00
[2025-07-27 00:14:56] [INFO] [RuleStrategyD] [RuleStrategyD] 진입 신호 | 가격: 40194.38 | 신뢰도: 0.84 | 변동성: 2.12 | 감정: 0.83 | 체제: 0.00
[2025-07-27 00:15:18] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:15:18] [INFO] [RuleStrategyD] [RuleStrategyD] 진입 신호 | 가격: 38318.51 | 신뢰도: 0.86 | 변동성: 1.84 | 감정: 0.53 | 체제: 0.00
[2025-07-27 00:15:18] [INFO] [RuleStrategyD] [RuleStrategyD] 진입 신호 | 가격: 41147.14 | 신뢰도: 0.82 | 변동성: 1.67 | 감정: 0.76 | 체제: 0.00
[2025-07-27 00:15:18] [INFO] [RuleStrategyD] [RuleStrategyD] 청산 신호 | 이유: volatility_spike | PnL: 1.41% | 보유시간: 0.0바
[2025-07-27 00:39:05] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
[2025-07-27 00:39:13] [INFO] [RuleStrategyD] RuleStrategyD 초기화: 변동성(1.5), 감정(0.2), 체제(0.3)
