Metric,Value
total_return,-4104529.646950504
roi,-4.104529646950504
annualized_return,nan
sharpe_ratio,-21.112343933606084
sortino_ratio,-21.112343933606084
calmar_ratio,nan
max_drawdown,4.104529646950505
max_drawdown_duration,0
volatility,2.450560379002855
downside_deviation,0.0
var_95,-0.3579163158934149
cvar_95,-0.7793818971340178
total_trades,397
winning_trades,0
losing_trades,172
win_rate,0.0
profit_factor,0.0
expectancy,-10338.865609447113
avg_win,0
avg_loss,23863.544459014556
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,397
avg_holding_time_hours,0.7749790092359362
avg_trades_per_day,15.88
total_commission,1431.7377278972504
total_slippage,-3151853.256741725
sample_size,397
confidence_level,0
composite_score,-0.9838865609447114
weighted_score,-0.9838865609447114
