Metric,Value
total_return,-2937746.9841476437
roi,-2.9377469841476436
annualized_return,nan
sharpe_ratio,-21.50329373362006
sortino_ratio,-22.12009078110011
calmar_ratio,nan
max_drawdown,2.9377469841476436
max_drawdown_duration,0
volatility,1.8129223638231116
downside_deviation,0.0
var_95,-0.3152943171466331
cvar_95,-0.5278160091088874
total_trades,363
winning_trades,0
losing_trades,153
win_rate,0.0
profit_factor,0.0
expectancy,-8092.9668984783575
avg_win,0
avg_loss,19200.960680703552
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,363
avg_holding_time_hours,0.778236914600551
avg_trades_per_day,14.52
total_commission,1538.261212096298
total_slippage,-1251915.0787408403
sample_size,363
confidence_level,0
composite_score,-0.7592966898478357
weighted_score,-0.7592966898478357
