Metric,Value
total_return,-4271263.399112243
roi,-4.271263399112243
annualized_return,nan
sharpe_ratio,-24.26771932421372
sortino_ratio,-25.251725967582594
calmar_ratio,nan
max_drawdown,4.271263399112242
max_drawdown_duration,0
volatility,2.112895740399712
downside_deviation,0.0
var_95,-0.3369414880079532
cvar_95,-0.47851928604978894
total_trades,402
winning_trades,0
losing_trades,193
win_rate,0.0
profit_factor,0.0
expectancy,-10625.033331124983
avg_win,0
avg_loss,22130.898440996083
avg_win_loss_ratio,0.0
consistency_score,0
max_consecutive_wins,0
max_consecutive_losses,402
avg_holding_time_hours,0.9040215588723052
avg_trades_per_day,14.357142857142858
total_commission,1798.694195966605
total_slippage,-180055.01916529733
sample_size,402
confidence_level,0
composite_score,-1.0125033331124984
weighted_score,-1.0125033331124984
